"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"205","comp_school",37594,24839,8559,3862,333,0,0,25286,7881,4094,333,0,0,"DC",1
"206","comp_home",72565,49209,18214,4868,274,0,0,52972,15815,3718,59,0,0,"DC",1
"207","comp_other",2763,1148,0,1220,395,0,0,0,1148,1220,395,0,0,"DC",1
"208","comp_nr",7656,665,1844,0,0,4469,678,610,828,0,2086,946,3187,"DC",1
"209","int_school",2772,391,1924,457,0,0,0,666,1385,720,0,0,0,"DC",1
"210","int_home",94337,62057,20071,7685,1001,3523,0,67263,18257,5944,2872,0,0,"DC",1
"211","int_other",423,291,132,0,0,0,0,291,132,0,0,0,0,"DC",1
"212","int_nr",5195,1268,2303,0,0,946,678,1062,0,0,0,946,3187,"DC",1
"213","yes_unemployed",39805,22312,9611,3872,606,3032,373,26727,5714,2552,1650,946,2216,"DC",1
"214","no_unemployed",60869,41305,13158,4270,395,1438,305,41889,12675,4112,1223,0,970,"DC",1
"215","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"DC",1
"216","resp_employed_yes",57119,40015,13058,3244,395,118,288,43489,10477,982,454,118,1598,"DC",1
"217","resp_employed_no",43556,23601,9710,4897,606,4351,390,25127,7912,5682,2418,828,1589,"DC",1
"218","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"DC",1
"219","food_enough_want",63708,49667,11126,745,0,2086,85,53380,7334,159,1258,828,750,"DC",1
"220","food_enough_notwant",16038,7060,5926,2778,274,0,0,8427,2741,2967,59,0,1844,"DC",1
"221","food_sometimes",17562,6254,5716,3398,333,1556,305,6173,8314,2318,333,118,305,"DC",1
"222","food_notenough",3367,636,0,1220,395,828,288,636,0,1220,1223,0,288,"DC",1
"223","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"DC",1
"224","25000>",24543,12227,5540,4179,333,2265,0,12684,6614,4085,1160,0,0,"DC",1
"225","25000-34999",11595,7313,1566,1065,274,1377,0,6290,2275,1653,1258,118,0,"DC",1
